Название,Цена,Ссылка,Описание,Просмотров,Дата публикации,Продавец,Адрес
,15000,https://www.avito.ru/moskva/telefony/iphone_11_128_gb_4411181237?slocation=107620&context=H4sIAAAAAAAA_xzIbQqDMBAE0LvsCZqGtjA5zXYimAWN-QAD4t1Ffz14ijeOBg9plRIa3Avyr1njop3zM5Bx6x1E08i0Et32W223Pn2NRs9E0spHwnkFAAD__3efI0FRAAAA,,0,сегодня в 12:31,no,-
,31000,https://www.avito.ru/nizhniy_novgorod/telefony/iphone_11_256_gb_4173400321?slocation=107620&context=H4sIAAAAAAAA_xzIbQqDMBAE0LvsCZqGtjA5zXYimAWN-QAD4t1Ffz14ijeOBg9plRIa3Avyr1njop3zM5Bx6x1E08i0Et32W223Pn2NRs9E0spHwnkFAAD__3efI0FRAAAA,,19,сегодня в 12:38,no,-
,26000,https://www.avito.ru/nizhniy_novgorod/telefony/iphone_11_128_gb_3891169829?slocation=107620&context=H4sIAAAAAAAA_xzIbQqDMBAE0LvsCZqGtjA5zXYimAWN-QAD4t1Ffz14ijeOBg9plRIa3Avyr1njop3zM5Bx6x1E08i0Et32W223Pn2NRs9E0spHwnkFAAD__3efI0FRAAAA,,32,сегодня в 12:29,no,-
,20000,https://www.avito.ru/novosibirsk/telefony/iphone_11_128_gb_4270823494?slocation=107620&context=H4sIAAAAAAAA_xzIbQqDMBAE0LvsCZqGtjA5zXYimAWN-QAD4t1Ffz14ijeOBg9plRIa3Avyr1njop3zM5Bx6x1E08i0Et32W223Pn2NRs9E0spHwnkFAAD__3efI0FRAAAA,,10,сегодня в 12:02,no,-
,20500,https://www.avito.ru/sankt-peterburg/telefony/iphone_11_64_gb_4075279391?context=H4sIAAAAAAAA_xzIbQqDMBAE0LvsCZqGtjA5zXYimAWN-QAD4t1Ffz14ijeOBg9plRIa3Avyr1njop3zM5Bx6x1E08i0Et32W223Pn2NRs9E0spHwnkFAAD__3efI0FRAAAA,,47,сегодня в 12:25,no,-
,17000,https://www.avito.ru/novosibirsk/telefony/iphone_11_64_gb_4227392767?slocation=107620&context=H4sIAAAAAAAA_xzIbQqDMBAE0LvsCZqGtjA5zXYimAWN-QAD4t1Ffz14ijeOBg9plRIa3Avyr1njop3zM5Bx6x1E08i0Et32W223Pn2NRs9E0spHwnkFAAD__3efI0FRAAAA,,138,сегодня в 12:01,no,-
,23000,https://www.avito.ru/sankt-peterburg/telefony/iphone_11_128_gb_4252386032?slocation=107620&context=H4sIAAAAAAAA_xzIbQqDMBAE0LvsCZqGtjA5zXYimAWN-QAD4t1Ffz14ijeOBg9plRIa3Avyr1njop3zM5Bx6x1E08i0Et32W223Pn2NRs9E0spHwnkFAAD__3efI0FRAAAA,,1,сегодня в 12:24,no,-
"iPhone 11, 256 ГБ",15000,https://www.avito.ru/balashiha/telefony/iphone_11_256_gb_4190994882?slocation=107620,15000. Без ремонта. Крышка целая. Только потертости на экране.,21,сегодня в 00:19,no,-
"iPhone 11, 256 ГБ",18500,https://www.avito.ru/zhukovskiy/telefony/iphone_11_256_gb_4489565154?slocation=107620,"Телефон в отличном состоянии, все функции работают. Отвязан от всех аккаунтов. Face ID и True Tone работают. Менялся аккумулятор и дисплей на дорогие в сервисе. Аккумулятор 100%. Возможно вы искали: Apple iPhone 11 256 gb, эпл айфон 11 256гб, бюджетный смартфон, телефон.",8,сегодня в 12:12,Частное лицо ·,-
"iPhone 11, 128 ГБ",17000,https://www.avito.ru/mytischi/telefony/iphone_11_128_gb_4182178114,"Работает отлично. Продаю, тк подарили новый. В комплекте зарядка тайп си + чехол.",0,сегодня в 12:32,no,-
"iPhone 11, 64 ГБ",13000,https://www.avito.ru/sofrino/telefony/iphone_11_64_gb_4201273444?slocation=107620,"Айфон 11, сиреневый, в идеальном состоянии не считая мелкой царапинки у динамика, всё работает отлично, не каких отклонений, есть коробка от 11 не родная, стоит не родной аккумулятор, в подарок отдам 3 чехла.",10,сегодня в 12:03,Частное лицо ·,-
"iPhone 11, 128 ГБ",22990,https://www.avito.ru/rostov-na-donu/telefony/iphone_11_128_gb_4251773144?context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrJXOzSgtDkxKLSsNCo5yCYpMSixSLtEqzEsvMpNJi0zQl61pAAAAA___BW9DeUQAAAA,,0,сегодня в 12:47,Компания ·,-
"iPhone 11, 256 ГБ",28800,https://www.avito.ru/kazan/telefony/iphone_11_256_gb_4738105917?context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrJXOzSgtDkxKLSsNCo5yCYpMSixSLtEqzEsvMpNJi0zQl61pAAAAA___BW9DeUQAAAA,,45,10 сентября в 10:51,no,-
"iPhone 11, 128 ГБ",18990,https://www.avito.ru/sankt-peterburg/telefony/iphone_11_128_gb_4106921607?context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrJXOzSgtDkxKLSsNCo5yCYpMSixSLtEqzEsvMpNJi0zQl61pAAAAA___BW9DeUQAAAA,,175,вчера в 12:45,Компания ·,-
,24990,https://www.avito.ru/voronezh/telefony/iphone_11_256_gb_4187502046?context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrJXOzSgtDkxKLSsNCo5yCYpMSixSLtEqzEsvMpNJi0zQl61pAAAAA___BW9DeUQAAAA,,146,вчера в 12:45,no,-
,17592,https://www.avito.ru/sankt-peterburg/telefony/iphone_11_128_gb_4282109448?context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrJXOzSgtDkxKLSsNCo5yCYpMSixSLtEqzEsvMpNJi0zQl61pAAAAA___BW9DeUQAAAA,,8277,вчера в 21:20,no,-
,16490,https://www.avito.ru/moskva/telefony/iphone_11_64_gb_4626436003?slocation=107620&context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrJXOzSgtDkxKLSsNCo5yCYpMSixSLtEqzEsvMpNJi0zQl61pAAAAA___BW9DeUQAAAA,,0,сегодня в 12:44,Частное лицо ·,-
,19990,https://www.avito.ru/rostov-na-donu/telefony/iphone_11_128_gb_4181616022?slocation=107620&context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrJXOzSgtDkxKLSsNCo5yCYpMSixSLtEqzEsvMpNJi0zQl61pAAAAA___BW9DeUQAAAA,,0,сегодня в 12:41,Компания ·,-
,15000,https://www.avito.ru/sankt-peterburg_kolpino/telefony/iphone_11_128_gb_4440171833?slocation=107620&context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrJXOzSgtDkxKLSsNCo5yCYpMSixSLtEqzEsvMpNJi0zQl61pAAAAA___BW9DeUQAAAA,,0,сегодня в 12:38,no,-
,19500,https://www.avito.ru/sankt-peterburg/telefony/iphone_11_128_gb_4442057952?context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrJXOzSgtDkxKLSsNCo5yCYpMSixSLtEqzEsvMpNJi0zQl61pAAAAA___BW9DeUQAAAA,,0,сегодня в 12:47,no,-
,18000,https://www.avito.ru/sankt-peterburg/telefony/iphone_11_128_gb_3696218434?slocation=107620&context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrJXOzSgtDkxKLSsNCo5yCYpMSixSLtEqzEsvMpNJi0zQl61pAAAAA___BW9DeUQAAAA,,16209,7 сентября в 12:03,no,-
,22000,https://www.avito.ru/moskva/telefony/iphone_11_128_gb_4123923065?slocation=107620&context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrJXOzSgtDkxKLSsNCo5yCYpMSixSLtEqzEsvMpNJi0zQl61pAAAAA___BW9DeUQAAAA,,194,сегодня в 12:41,no,-
"iPhone 11, 128 ГБ",20000,https://www.avito.ru/moskva/telefony/iphone_11_128_gb_4325151876?slocation=107620,"Продаю свой iPhone 11 в идеальном состоянии. Приятна продажи: переход на новую модель. Телефон в идеальном состоянии, за все время эксплуатации был в чехле, защитное стекло на экране и защитная пленка на задней стороне, в связи с этим ни одной царапины на экране и в целом на корпусе нет. Работает исправно, без нареканий. На данный момент полный сброс настроек не сделан, чтобы потенциальный покупатель мог убедиться в исправности устройства. С продажей не тороплюсь, поэтому торг не уместен, телефон стоит своих денег. Вместе с телефоном отдам два чехла (фото).",0,сегодня в 12:50,no,-
"iPhone 11, 64 ГБ",16000,https://www.avito.ru/moskva/telefony/iphone_11_64_gb_3880114569?slocation=107620,"Коробка имеется. Использовался с защитным стеклом. Все детали в рабочем состоянии. Любые проверки на месте. Полностью оригинальный телефон, в хорошем техническом и внешнем состоянии. Можете убедиться в этом сами вбив серийный номер на сайте Apple. Внешнее состояние телефона можно оценить 7/10 баллов.",760,сегодня в 12:45,no,-
"iPhone 11, 64 ГБ",18000,https://www.avito.ru/moskva/telefony/iphone_11_64_gb_4270853163,"Продам айфон 11 на 64гб в хорошем состоянии. Цвет бирюзовый. Есть небольшие ссадины по бокам (фото приложено). Работает исправно, никаких проблем не возникало. В ремонте не был и не вскрывался. Полный комплект. В комплекте идет: коробка, шнур для зарядки и 4 чехла.",49,вчера в 17:49,no,-
"iPhone 11, 128 ГБ",19000,https://www.avito.ru/moskva/telefony/iphone_11_128_gb_4410641543?slocation=107620,В продаже iphone 11 128 Зеленый Ростест. Все работает. Без ремонтов. Состояние можно сказать идеальное. Состояние аккумулятора-72%. Держит отлично. Полный комплект с чеком. От себя дам гарантию 2 недели на проверку устройства. Гарантирую возврата средств в случае выявления скрытых дефектов.,101,вчера в 12:13,no,-
"3-к. квартира, 102 м², 10/17 эт.",130000,https://www.avito.ru/moskovskaya_oblast_moskovskiy/kvartiry/3-k._kvartira_102_m_1017_et._4158775848,"Собственник. Без комиссии. Сдаю в аренду просторную квартиру с дизайнерским ремонтом в окружении парка и не далеко от метро. 3-микрорайон Московского — идеальное место для жизни семьи. Весь микрорайон находится в окружении о благоустроенного парка-леса. Прогулочные дорожки в лесу и прогулки на родник станут местом вашего отдыха от шумной Москвы, а бодрящий запах леса из окна будет успокаивать вас в конце рабочего дня. Метро тоже рядом. 10 минут на комфортабельном автобусе без пробок, и вы возле станции метро Филатов Луг. Для автомобилистов возле метро предусмотрена бесплатная и просторная перехватывающая парковка. Где оставить машину на ночь не будет являться проблемой для вас, в отличие от других микрорайонов Московского. В 100 метрах от дома многоуровневая охраняемая парковка с очень низкими ценами на аренду машиноместа. В 5 минутах ходьбы большой торговый центр с кинотеатром, супермаркетом и магазинами на любой выбор. Для семей с детьми хорошая школа и детский сад в 50 метрах от дома. Современные детские площадки и лес где ваши дети смогут безопасно играть в дали от машин. Теперь о самой квартире. Квартира площадью 102 м2 и имеет очень удачную планировку. Окна выходят на две стороны, благодаря чему она всегда легко проветривается свежим лесным воздухом. В квартире сделан очень дорогой и качественный дизайнерский ремонт. Укомплектована всей бытовой техникой включая посудомоечную машину. 3 кондиционера, теплые полы, водонагреватель на случай отключения горячей воды и даже камин. На кухне очень удобный остров, фильтр очистки воды и измельчитель отходов. В ванной комнате помимо самой ванны имеется душ. И главное преимущество этой квартиры — две огромные гардеробные, в которых с комфортом разместятся вещи даже большой семьи. Так же в квартире есть 2 застекленные лоджии для хранения кухонных принадлежностей и сушки белья. Приходите на просмотр и вы увидите, что это идеальная квартира для вашей семьи.",581,сегодня в 12:06,Арендодатель,-
